University,State,Private,SATm,SATv,SAT,ACT,SATm25,SATm75,SATv25,SATv75,ACT25,ACT75,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Instate,Outstate,Room.Board,Room,Board,Fees,Books,Personal,PhD,Terminal,S.F.Ratio,perc.Alumni,Expend,Grad.Rate,Sal.Prof,Sal.Assoc,Sal.Assist,Sal.All,Comp.Prof,Comp.Assoc,Comp.Assist,Comp.All,Num.Prof,Num.Assoc,Num.Assist,Num.Instruct,Num.Faculty
Alaska Pacific University,AK,2,490,482,972,20,440,530,430,550,18,22,193,146,55,16,44,249,869,7560,7560,4120,1620,2500,130,800,1500,76,72,11.9,2,10922,15,454,382,362,382,567,485,471,487,6,11,9,4,32
University of Alaska at Fairbanks,AK,1,499,462,961,22,*,*,*,*,*,*,1852,1427,928,*,*,3885,4519,1742,5226,3590,1800,1790,155,650,2304,67,*,10.0,8,11935,*,686,560,432,508,914,753,572,677,74,125,118,40,404
University of Alaska Southeast,AK,1,*,*,*,*,*,*,*,*,*,*,146,117,89,4,24,492,1849,1742,5226,4764,2514,2250,34,500,1162,39,51,9.5,*,9584,39,533,494,329,415,716,663,442,559,9,26,20,9,70
University of Alaska at Anchorage,AK,1,459,422,881,20,*,*,*,*,*,*,2065,1598,1162,*,*,6209,10537,1742,5226,5120,2600,2520,114,580,1260,48,*,13.7,6,8046,*,612,507,414,498,825,681,557,670,115,124,101,21,392
Alabama Agri. & Mech. Univ.,AL,1,*,*,*,17,*,*,*,*,14,17,2817,1920,984,*,*,3958,305,1700,3400,2550,1108,1442,155,500,850,53,53,14.3,*,7043,40,442,369,310,350,530,444,376,423,59,77,102,24,262
University of Montevallo,AL,1,*,*,*,21,*,*,*,*,18,23,1351,892,570,18,78,2385,331,2220,4440,3030,*,*,124,300,600,72,72,18.9,8,5883,51,441,385,310,388,542,473,383,477,57,33,35,2,127
Auburn University-Main Campus,AL,1,575,501,1076,24,520,638,453,559,21,27,7548,6791,3070,25,57,16262,1716,2100,6300,3933,*,*,*,600,1908,85,91,16.7,18,6642,69,580,437,374,455,692,527,451,546,366,354,301,66,1109
Birmingham-Southern College,AL,2,575,525,1100,26,470,680,460,650,23,29,805,588,287,67,88,1376,207,11660,11660,4325,2050,2430,120,400,900,74,79,14.0,34,8649,72,498,379,322,401,655,501,404,523,34,25,27,3,89
University of North Alabama,AL,1,*,*,*,*,*,*,*,*,*,*,1087,702,625,*,40,3772,1034,1704,2970,2536,1336,1200,20,500,*,62,68,19.4,5,4944,76,506,412,359,411,607,508,445,503,67,40,66,27,200
Huntingdon College,AL,2,513,446,959,23,480,570,400,530,20,24,608,520,127,26,47,538,126,8080,8080,3920,1380,2540,100,500,1100,63,72,11.4,9,7703,44,339,303,287,301,421,371,347,366,8,15,19,2,44
Jacksonville State University,AL,1,*,*,*,20,*,*,*,*,17,22,1627,1413,887,*,*,5160,1475,1740,2610,2600,1030,1570,85,570,1500,66,67,20.1,6,4604,33,461,389,338,386,585,496,436,493,106,42,66,58,272
Livingston University,AL,1,*,*,*,19,*,*,*,*,16,21,1206,957,444,*,*,1627,132,1740,1740,2449,1162,1287,243,570,2100,58,58,18.8,4,4272,36,360,304,258,300,433,369,313,363,27,25,33,4,89
University of Mobile,AL,2,*,*,*,22,*,*,*,*,*,*,452,331,269,17,54,1417,301,6150,6150,3680,*,*,70,550,1200,59,63,16.6,4,5412,52,354,321,277,291,436,401,346,363,17,19,31,19,86
Oakwood College,AL,2,382,378,760,17,*,*,*,*,*,*,949,605,385,*,*,1316,135,6639,6639,3999,*,*,368,600,2500,52,52,14.5,12,7986,*,301,290,283,290,375,363,355,362,18,28,28,3,77
Samford University,AL,2,*,*,*,*,485,585,445,545,22,28,1680,1395,691,34,76,2959,402,8236,8236,3700,3700,*,*,569,1650,74,75,14.7,17,9533,61,565,425,363,449,710,556,476,578,83,46,77,9,215
Spring Hill College,AL,2,525,480,990,24,480,550,430,520,22,26,773,694,230,*,*,942,224,11478,11478,4788,2450,2338,645,500,900,80,89,14.4,23,8594,70,431,352,311,373,518,425,374,449,23,17,14,1,55
Stillman College,AL,2,*,*,*,*,*,*,*,*,*,*,629,614,248,*,*,866,22,4460,4460,2754,1683,1071,100,600,1000,47,47,14.3,*,5031,47,321,288,251,272,388,354,312,335,13,18,18,10,59
Troy State University at Troy,AL,1,510,470,980,20,350,480,380,550,18,24,1471,1281,824,18,67,4343,990,1697,2883,2570,1450,1120,75,300,*,50,50,23.0,*,4295,48,462,385,322,350,560,467,392,426,25,59,100,19,204
Tuskegee University,AL,2,*,*,*,*,*,*,*,*,*,*,2267,1827,611,20,59,2825,144,6735,6735,3395,3395,*,*,600,1425,70,74,12.2,7,10872,65,410,352,306,327,487,415,362,387,57,65,85,45,254
University of Alabama at Tuscaloosa,AL,1,*,*,*,23,*,*,*,*,20,25,7593,5972,2682,*,57,13780,1599,2172,5424,3530,1600,1930,*,580,1654,80,91,17.3,29,6426,50,605,447,382,463,746,563,483,580,267,206,206,76,762
University of Alabama at Birmingham,AL,1,*,*,*,21,*,*,*,*,18,24,1797,1260,938,24,35,6960,4698,2220,4440,5175,1935,3240,291,750,2200,96,96,6.7,16,16352,33,633,445,366,461,786,569,475,587,106,163,107,19,406
University of Alabama at Huntsville,AL,1,542,468,1010,24,470,610,390,530,21,26,1376,957,445,*,57,2727,3394,2480,4960,3500,2500,1000,*,600,2100,83,88,12.7,12,8863,38,636,443,375,451,771,540,455,548,72,87,98,7,282
University of South Alabama,AL,1,*,*,*,23,*,*,*,*,19,24,2328,2110,1047,*,*,7516,2943,2208,3108,2850,1530,1320,183,480,1470,80,80,13.3,*,8667,43,542,426,370,418,645,514,450,504,119,103,142,64,434
Auburn University at Montgomery,AL,1,*,*,*,21,*,*,*,*,*,*,985,868,645,*,*,3477,1929,1905,5715,4430,1650,2780,*,600,2500,74,76,18.1,*,4792,42,519,422,343,403,621,507,411,483,56,54,63,28,201
University of Arkansas at Monticello,AR,1,*,*,*,*,*,*,*,*,*,*,826,794,662,*,*,4539,357,1536,3552,2310,840,1470,84,500,2800,54,54,42.6,*,2033,*,453,363,330,349,561,448,402,428,23,24,48,22,117
University of Arkansas at Pine Bluff,AR,1,368,326,694,16,*,*,*,*,*,*,1450,1360,744,*,*,2993,1020,1392,3216,2328,2328,*,143,450,*,47,48,16.2,*,4618,*,406,366,332,335,505,457,415,419,40,33,71,46,192
