FICE	name	State	type	SATm	SATv	SAT	ACT	SATm25	SATm75	SATv25	SATv75	ACT25	ACT75	new.applied	new.accepted	new.enrolled	new.top10HS	new.top25HS	undergrads	parttime	tuition.in	tuition	room+board	room	board	cost.fees	cost.books	cost.pers	fac.phd	fac.term	sf.ratio	donate	exp.stud	graduate	College	College.aaup	State.aaup	type.aaup	sal.prof	sal.assoc	sal.assist	sal.all	comp.prof	comp.assoc	comp.assist	comp.all	profs	assocs	assists	instruct	faculty
1061	                       Alaska Pacific U.	AK	private	490	482	 972	20	440	530	430	550	18	22	  193	  146	  55	16	 44	  249	  869	 7560	 7560	4120	1620	2500	 130	 800	1500	 76	 72	11.9	 2	10922	 15	                    Alaska Pacific University	      Alaska Pacific University	AK	IIB	 454	382	362	382	 567	485	471	 487	  6	 11	  9	  4	  32
1063	                  U. Alaska at Fairbanks	AK	public	499	462	 961	22	*	*	*	*	*	*	 1852	 1427	 928	*	*	 3885	 4519	 1742	 5226	3590	1800	1790	 155	 650	2304	 67	*	10.0	 8	11935	*	            University of Alaska at Fairbanks	          Univ.Alaska-Fairbanks	AK	I	 686	560	432	508	 914	753	572	 677	 74	125	118	 40	 404
1065	                          U. Alaska S.E.	AK	public	*	*	*	*	*	*	*	*	*	*	  146	  117	  89	 4	 24	  492	 1849	 1742	 5226	4764	2514	2250	  34	 500	1162	 39	 51	 9.5	*	 9584	 39	               University of Alaska Southeast	          Univ.Alaska-Southeast	AK	IIA	 533	494	329	415	 716	663	442	 559	  9	 26	 20	  9	  70
11462	                  U. Alaska at Anchorage	AK	public	459	422	 881	20	*	*	*	*	*	*	 2065	 1598	1162	*	*	 6209	10537	 1742	 5226	5120	2600	2520	 114	 580	1260	 48	*	13.7	 6	 8046	*	            University of Alaska at Anchorage	          Univ.Alaska-Anchorage	AK	IIA	 612	507	414	498	 825	681	557	 670	115	124	101	 21	 392
1002	                Alabama Agri. & Mech. U.	AL	public	*	*	*	17	*	*	*	*	14	17	 2817	 1920	 984	*	*	 3958	  305	 1700	 3400	2550	1108	1442	 155	 500	 850	 53	 53	14.3	*	 7043	 40	                  Alabama Agri. & Mech. Univ.	      Alabama Agri.&Mech. Univ.	AL	IIA	 442	369	310	350	 530	444	376	 423	 59	 77	102	 24	 262
1004	                           U. Montevallo	AL	public	*	*	*	21	*	*	*	*	18	23	 1351	  892	 570	18	 78	 2385	  331	 2220	 4440	3030	*	*	 124	 300	 600	 72	 72	18.9	 8	 5883	 51	                     University of Montevallo	       University of Montevallo	AL	IIA	 441	385	310	388	 542	473	383	 477	 57	 33	 35	  2	 127
1009	                   Auburn U.-Main Campus	AL	public	575	501	1076	24	520	638	453	559	21	27	 7548	 6791	3070	25	 57	16262	 1716	 2100	 6300	3933	*	*	*	 600	1908	 85	 91	16.7	18	 6642	 69	                Auburn University-Main Campus	        Auburn University- Main	AL	I	 580	437	374	455	 692	527	451	 546	366	354	301	 66	1109
1012	                  Birmingham-Southern C.	AL	private	575	525	1100	26	470	680	460	650	23	29	  805	  588	 287	67	 88	 1376	  207	11660	11660	4325	2050	2430	 120	 400	 900	 74	 79	14.0	34	 8649	 72	                  Birmingham-Southern College	    Birmingham Southern College	AL	IIB	 498	379	322	401	 655	501	404	 523	 34	 25	 27	  3	  89
1016	                        U. North Alabama	AL	public	*	*	*	*	*	*	*	*	*	*	 1087	  702	 625	*	 40	 3772	 1034	 1704	 2970	2536	1336	1200	  20	 500	*	 62	 68	19.4	 5	 4944	 76	                  University of North Alabama	         Univ. of North Alabama	AL	IIB	 506	412	359	411	 607	508	445	 503	 67	 40	 66	 27	 200
1019	                           Huntingdon C.	AL	private	513	446	 959	23	480	570	400	530	20	24	  608	  520	 127	26	 47	  538	  126	 8080	 8080	3920	1380	2540	 100	 500	1100	 63	 72	11.4	 9	 7703	 44	                           Huntingdon College	             Huntingdon College	AL	IIB	 339	303	287	301	 421	371	347	 366	  8	 15	 19	  2	  44
1020	                   Jacksonville State U.	AL	public	*	*	*	20	*	*	*	*	17	22	 1627	 1413	 887	*	*	 5160	 1475	 1740	 2610	2600	1030	1570	  85	 570	1500	 66	 67	20.1	 6	 4604	 33	                Jacksonville State University	       Jacksonville State Univ.	AL	IIA	 461	389	338	386	 585	496	436	 493	106	 42	 66	 58	 272
